Código,Nome,Volume,Última (R$),Variação
BMGB4,Banco BMG,846.800,2,92,+1,04%
PLPL3,Plano&Plano,822.700,9,42,+0,21%
ABCB4,Banco ABC Brasil,816.000,18,14,-0,22%
PGMN3,Pague Menos,795.400,4,32,+4,85%
ARML3,Armac,747.700,14,99,+2,53%
MDIA3,M. Dias Branco,738.900,43,59,+0,46%
HBOR3,Helbor,738.400,3,83,+2,96%
EVEN3,Even,731.100,7,18,+2,13%
RANI3,Irani,663.600,9,65,+1,90%
TUPY3,Tupy,656.600,25,77,+1,10%
AGRO3,BrasilAgro,655.400,25,86,+1,06%
CPLE3,Copel,647.100,8,03,-0,25%
SHOW3,Time For Fun,583.000,3,07,+7,72%
PDTC3,Padtec,566.700,2,40,-0,83%
PNVL3,Dimed,564.900,13,25,+2,71%
CLSA3,ClearSale,558.300,6,69,-2,62%
DASA3,Dasa,557.400,13,01,+1,72%
MDNE3,Moura Dubeux,523.200,10,42,+4,72%
TASA4,Taurus,518.100,15,05,+0,13%
AZEV3,Azevedo & Travassos,486.600,2,05,+2,50%
JALL3,Jalles Machado,481.300,7,72,+2,25%
VIVR3,Viver,472.100,3,16,+2,60%
SHUL4,Schulz,466.500,6,34,+5,67%
VLID3,Valid,462.200,13,98,+0,58%
WIZC3,Wiz Soluções,441.500,6,49,+1,88%
BMOB3,Bemobi,435.100,13,80,+0,73%
ALPK3,Estapar,427.000,4,97,-1,39%
OPCT3,OceanPact,422.700,5,01,+3,73%
PRNR3,Priner,419.200,10,16,+4,53%
DMVF3,D1000 Varejo Farma,408.200,5,08,+7,86%
SGPS3,Springs,397.100,2,84,-1,73%
USIM3,Usiminas,394.300,7,60,+2,70%
POMO3,Marcopolo,380.900,4,15,+3,49%
ITUB3,Itaú Unibanco,358.500,25,30,+1,28%
CMIG3,CEMIG,345.500,17,97,+0,11%
BLAU3,Blau Farmacêutica,339.100,19,85,+0,66%
VULC3,Vulcabras,332.500,17,40,+1,22%
ROMI3,Indústrias ROMI,331.100,16,60,+1,10%
HBRE3,HBR Realty,326.600,5,58,+2,01%
PORT3,Wilson Sons,313.700,13,16,+1,08%
LOGG3,LOG CP,308.600,24,19,+1,30%
DOTZ3,Dotz,306.800,1,59,+0,00%
SQIA3,Sinqia,304.400,23,01,-0,48%
FRAS3,Fras-le,294.400,13,31,+1,60%
